"CODE";"FR";"CODE_light";"niveau";"genealogieCode";"genealogieLabel"
"03000000-1";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes";"03";2;"";""
"03100000-2";"Produits agricoles et produits de l'horticulture";"031";3;"03";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes"
"03110000-5";"Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale";"0311";4;"03|031";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture"
"03111000-2";"Graines";"03111";5;"03|031|0311";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale"
"03111100-3";"Graines de soja";"031111";6;"03|031|0311|03111";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Graines"
"03111200-4";"Graines d'arachide";"031112";6;"03|031|0311|03111";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Graines"
"03111300-5";"Graines de tournesol";"031113";6;"03|031|0311|03111";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Graines"
"03111400-6";"Graines de coton";"031114";6;"03|031|0311|03111";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Graines"
"03111500-7";"Graines de sésame";"031115";6;"03|031|0311|03111";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Graines"
"03111600-8";"Graines de moutarde";"031116";6;"03|031|0311|03111";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Graines"
"03111700-9";"Graines de légumes";"031117";6;"03|031|0311|03111";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Graines"
"03111800-0";"Graines de fruits";"031118";6;"03|031|0311|03111";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Graines"
"03111900-1";"Graines de fleurs";"031119";6;"03|031|0311|03111";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Graines"
"03112000-9";"Tabacs non fabriqués";"03112";5;"03|031|0311";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale"
"03113000-6";"Plantes utilisées pour la fabrication du sucre";"03113";5;"03|031|0311";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale"
"03113100-7";"Betteraves sucrières";"031131";6;"03|031|0311|03113";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Plantes utilisées pour la fabrication du sucre"
"03113200-8";"Canne à sucre";"031132";6;"03|031|0311|03113";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Plantes utilisées pour la fabrication du sucre"
"03114000-3";"Paille et plantes fourragères";"03114";5;"03|031|0311";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale"
"03114100-4";"Paille";"031141";6;"03|031|0311|03114";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Paille et plantes fourragères"
"03114200-5";"Plantes fourragères";"031142";6;"03|031|0311|03114";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Paille et plantes fourragères"
"03115000-0";"Matières premières végétales";"03115";5;"03|031|0311";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale"
"03115100-1";"Matières premières végétales destinées à l'industrie textile";"031151";6;"03|031|0311|03115";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Matières premières végétales"
"03115110-4";"Coton";"0311511";7;"03|031|0311|03115|031151";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Matières premières végétales|Matières premières végétales destinées à l'industrie textile"
"03115120-7";"Jute";"0311512";7;"03|031|0311|03115|031151";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Matières premières végétales|Matières premières végétales destinées à l'industrie textile"
"03115130-0";"Lin";"0311513";7;"03|031|0311|03115|031151";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Matières premières végétales|Matières premières végétales destinées à l'industrie textile"
"03116000-7";"Caoutchouc naturel, latex naturel et produits connexes";"03116";5;"03|031|0311";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale"
"03116100-8";"Caoutchouc naturel";"031161";6;"03|031|0311|03116";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Caoutchouc naturel, latex naturel et produits connexes"
"03116200-9";"Latex naturel";"031162";6;"03|031|0311|03116";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Caoutchouc naturel, latex naturel et produits connexes"
"03116300-0";"Produits en latex";"031163";6;"03|031|0311|03116";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Caoutchouc naturel, latex naturel et produits connexes"
"03117000-4";"Plantes à usage spécifique";"03117";5;"03|031|0311";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale"
"03117100-5";"Plantes utilisées en parfumerie ou en pharmacie, ou plantes à usage insecticide ou à usage similaire";"031171";6;"03|031|0311|03117";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Plantes à usage spécifique"
"03117110-8";"Plantes utilisées en parfumerie";"0311711";7;"03|031|0311|03117|031171";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Plantes à usage spécifique|Plantes utilisées en parfumerie ou en pharmacie, ou plantes à usage insecticide ou à usage similaire"
"03117120-1";"Plantes utilisées en pharmacie";"0311712";7;"03|031|0311|03117|031171";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Plantes à usage spécifique|Plantes utilisées en parfumerie ou en pharmacie, ou plantes à usage insecticide ou à usage similaire"
"03117130-4";"Plantes à usage insecticide";"0311713";7;"03|031|0311|03117|031171";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Plantes à usage spécifique|Plantes utilisées en parfumerie ou en pharmacie, ou plantes à usage insecticide ou à usage similaire"
"03117140-7";"Plantes à usage fongicide ou à usage similaire";"0311714";7;"03|031|0311|03117|031171";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Plantes à usage spécifique|Plantes utilisées en parfumerie ou en pharmacie, ou plantes à usage insecticide ou à usage similaire"
"03117200-6";"Graines de plantes à usage spécifique";"031172";6;"03|031|0311|03117";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale|Plantes à usage spécifique"
"03120000-8";"Produits horticoles et produits de pépinières";"0312";4;"03|031";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture"
"03121000-5";"Produits horticoles";"03121";5;"03|031|0312";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits horticoles et produits de pépinières"
"03121100-6";"Plantes vivantes, bulbes, racines, boutures et greffons";"031211";6;"03|031|0312|03121";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits horticoles et produits de pépinières|Produits horticoles"
"03121200-7";"Fleurs coupées";"031212";6;"03|031|0312|03121";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits horticoles et produits de pépinières|Produits horticoles"
"03121210-0";"Compositions florales";"0312121";7;"03|031|0312|03121|031212";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits horticoles et produits de pépinières|Produits horticoles|Fleurs coupées"
"03130000-1";"Plantes pour boissons et épices";"0313";4;"03|031";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture"
"03131000-8";"Plantes pour boissons";"03131";5;"03|031|0313";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Plantes pour boissons et épices"
"03131100-9";"Grains de café";"031311";6;"03|031|0313|03131";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Plantes pour boissons et épices|Plantes pour boissons"
"03131200-0";"Théiers";"031312";6;"03|031|0313|03131";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Plantes pour boissons et épices|Plantes pour boissons"
"03131300-1";"Maté";"031313";6;"03|031|0313|03131";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Plantes pour boissons et épices|Plantes pour boissons"
"03131400-2";"Fèves de cacao";"031314";6;"03|031|0313|03131";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Plantes pour boissons et épices|Plantes pour boissons"
"03132000-5";"Épices brutes";"03132";5;"03|031|0313";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Plantes pour boissons et épices"
"03140000-4";"Produits animaux et produits connexes";"0314";4;"03|031";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture"
"03141000-1";"Sperme de taureau";"03141";5;"03|031|0314";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits animaux et produits connexes"
"03142000-8";"Produits de l'élevage";"03142";5;"03|031|0314";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits animaux et produits connexes"
"03142100-9";"Miel naturel";"031421";6;"03|031|0314|03142";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits animaux et produits connexes|Produits de l'élevage"
"03142200-0";"Escargots";"031422";6;"03|031|0314|03142";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits animaux et produits connexes|Produits de l'élevage"
"03142300-1";"Produits alimentaires d'origine animale";"031423";6;"03|031|0314|03142";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits animaux et produits connexes|Produits de l'élevage"
"03142400-2";"Cires";"031424";6;"03|031|0314|03142";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits animaux et produits connexes|Produits de l'élevage"
"03142500-3";"Œufs";"031425";6;"03|031|0314|03142";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits animaux et produits connexes|Produits de l'élevage"
"03143000-5";"Produits de la polyculture";"03143";5;"03|031|0314";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits animaux et produits connexes"
"03144000-2";"Fournitures pour l'agriculture";"03144";5;"03|031|0314";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Produits agricoles et produits de l'horticulture|Produits animaux et produits connexes"
"03200000-3";"Céréales, pommes de terre, légumes, fruits et noix";"032";3;"03";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes"
"03210000-6";"Céréales et pommes de terre";"0321";4;"03|032";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix"
"03211000-3";"Céréales";"03211";5;"03|032|0321";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix|Céréales et pommes de terre"
"03211100-4";"Blé";"032111";6;"03|032|0321|03211";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix|Céréales et pommes de terre|Céréales"
"03211110-7";"Blé dur";"0321111";7;"03|032|0321|03211|032111";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix|Céréales et pommes de terre|Céréales|Blé"
"03211120-0";"Blé tendre";"0321112";7;"03|032|0321|03211|032111";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix|Céréales et pommes de terre|Céréales|Blé"
"03211200-5";"Maïs";"032112";6;"03|032|0321|03211";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix|Céréales et pommes de terre|Céréales"
"03211300-6";"Riz";"032113";6;"03|032|0321|03211";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix|Céréales et pommes de terre|Céréales"
"03211400-7";"Orge";"032114";6;"03|032|0321|03211";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix|Céréales et pommes de terre|Céréales"
"03211500-8";"Seigle";"032115";6;"03|032|0321|03211";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix|Céréales et pommes de terre|Céréales"
"03211600-9";"Avoine";"032116";6;"03|032|0321|03211";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix|Céréales et pommes de terre|Céréales"
"03211700-0";"Malt";"032117";6;"03|032|0321|03211";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix|Céréales et pommes de terre|Céréales"
"03211900-2";"Produits à graines";"032119";6;"03|032|0321|03211";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix|Céréales et pommes de terre|Céréales"
"03212000-0";"Pommes de terre et légumes secs";"03212";5;"03|032|0321";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix|Céréales et pommes de terre"
"03212100-1";"Pommes de terre";"032121";6;"03|032|0321|03212";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix|Céréales et pommes de terre|Pommes de terre et légumes secs"
"03212200-2";"Légumes secs à cosse et à gousse";"032122";6;"03|032|0321|03212";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix|Céréales et pommes de terre|Pommes de terre et légumes secs"
"03212210-5";"Légumes secs à cosse";"0321221";7;"03|032|0321|03212|032122";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix|Céréales et pommes de terre|Pommes de terre et légumes secs|Légumes secs à cosse et à gousse"
"03212211-2";"Lentilles";"03212211";8;"03|032|0321|03212|032122|0321221";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix|Céréales et pommes de terre|Pommes de terre et légumes secs|Légumes secs à cosse et à gousse|Légumes secs à cosse"
"03212212-9";"Pois chiches";"03212212";8;"03|032|0321|03212|032122|0321221";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix|Céréales et pommes de terre|Pommes de terre et légumes secs|Légumes secs à cosse et à gousse|Légumes secs à cosse"
"03212213-6";"Pois secs";"03212213";8;"03|032|0321|03212|032122|0321221";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix|Céréales et pommes de terre|Pommes de terre et légumes secs|Légumes secs à cosse et à gousse|Légumes secs à cosse"
"03212220-8";"Légumes à gousse";"0321222";7;"03|032|0321|03212|032122";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix|Céréales et pommes de terre|Pommes de terre et légumes secs|Légumes secs à cosse et à gousse"
"03220000-9";"Légumes, fruits et noix";"0322";4;"03|032";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix"
"03221000-6";"Légumes";"03221";5;"03|032|0322";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix|Légumes, fruits et noix"
"03221100-7";"Légumes-racines et légumes-tubercules";"032211";6;"03|032|0322|03221";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix|Légumes, fruits et noix|Légumes"
"03221110-0";"Légumes-racines";"0322111";7;"03|032|0322|03221|032211";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix|Légumes, fruits et noix|Légumes|Légumes-racines et légumes-tubercules"
"03221111-7";"Betteraves";"03221111";8;"03|032|0322|03221|032211|0322111";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix|Légumes, fruits et noix|Légumes|Légumes-racines et légumes-tubercules|Légumes-racines"
"03221112-4";"Carottes";"03221112";8;"03|032|0322|03221|032211|0322111";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix|Légumes, fruits et noix|Légumes|Légumes-racines et légumes-tubercules|Légumes-racines"
"03221113-1";"Oignons";"03221113";8;"03|032|0322|03221|032211|0322111";"Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes|Céréales, pommes de terre, légumes, fruits et noix|Légumes, fruits et noix|Légumes|Légumes-racines et légumes-tubercules|Légumes-racines"
